class,xcenter,ycenter,width,height
1,0.46875,0.3171875,0.15,0.2171875
1,0.6765625,0.3609375,0.121875,0.246875
0,0.6125,0.4265625,0.0640625,0.075
0,0.6671875,0.44375,0.0515625,0.0796875
0,0.584375,0.4328125,0.09375,0.05625
0,0.61875,0.484375,0.090625,0.05
1,0.609375,0.5359375,0.0765625,0.065625
1,0.83125,0.4796875,0.2421875,0.465625
1,0.9078125,0.559375,0.184375,0.4484375
0,0.2421875,0.45625,0.353125,0.4296875
0,0.440625,0.628125,0.3609375,0.415625
0,0.4109375,0.6859375,0.3609375,0.2984375
0,0.1328125,0.6234375,0.175,0.4234375
0,0.090625,0.259375,0.18125,0.1890625
0,0.3109375,0.25,0.24375,0.16875
0,0.0359375,0.36875,0.071875,0.278125
1,0.0375,0.5890625,0.075,0.2046875
0,0.171875,0.75,0.1375,0.1703125
0,0.68125,0.7671875,0.1484375,0.1375
0,0.5171875,0.403125,0.08125,0.0546875
1,0.8390625,0.79375,0.171875,0.0828125
