clip,frame,timestamp,count,trackedId,confirmed,rawLabel,rawConfidence,smoothedLabel,smoothedSupport,stateHistoryLength,y1,x1,y2,x2
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","1","0.140","5","1","false","Oyster-Closed","0.8374","Oyster-Closed","1.0000","1","307.6","282.5","361.0","358.0"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","1","0.140","5","2","false","Oyster-Closed","0.7939","Oyster-Closed","1.0000","1","284.1","369.7","343.9","472.2"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","1","0.140","5","3","false","Oyster-Closed","0.6805","Oyster-Closed","1.0000","1","153.8","306.2","212.7","395.2"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","1","0.140","5","4","false","Oyster-Closed","0.6633","Oyster-Closed","1.0000","1","277.9","251.7","317.1","324.1"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","1","0.140","5","5","false","Oyster-Closed","0.4019","Oyster-Closed","1.0000","1","296.7","618.7","392.8","640.0"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","2","0.280","7","1","false","Oyster-Closed","0.8524","Oyster-Closed","1.0000","2","307.5","283.1","360.9","358.0"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","2","0.280","7","2","false","Oyster-Closed","0.8311","Oyster-Closed","1.0000","2","284.1","370.1","343.4","471.3"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","2","0.280","7","3","false","Oyster-Closed","0.6694","Oyster-Closed","1.0000","2","153.5","306.2","214.1","398.9"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","2","0.280","7","4","false","Oyster-Closed","0.6687","Oyster-Closed","1.0000","2","278.4","252.4","316.8","322.7"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","2","0.280","7","6","false","Oyster-Closed","0.5009","Oyster-Closed","1.0000","1","238.3","274.9","298.5","358.0"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","2","0.280","7","7","false","Oyster-Closed","0.4311","Oyster-Closed","1.0000","1","312.2","98.9","397.2","207.6"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","2","0.280","7","5","false","Oyster-Closed","0.4096","Oyster-Closed","1.0000","2","297.6","618.6","387.4","640.0"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","3","0.424","7","1","false","Oyster-Closed","0.8520","Oyster-Closed","1.0000","3","307.4","283.1","360.9","358.0"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","3","0.424","7","2","false","Oyster-Closed","0.8322","Oyster-Closed","1.0000","3","284.2","370.2","343.5","471.2"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","3","0.424","7","4","false","Oyster-Closed","0.6753","Oyster-Closed","1.0000","3","278.4","252.6","316.8","322.5"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","3","0.424","7","3","false","Oyster-Closed","0.6528","Oyster-Closed","1.0000","3","153.5","306.3","213.2","398.3"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","3","0.424","7","6","false","Oyster-Closed","0.4511","Oyster-Closed","1.0000","2","238.2","275.0","298.5","358.2"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","3","0.424","7","7","false","Oyster-Closed","0.4132","Oyster-Closed","1.0000","2","311.8","98.9","397.3","207.6"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","3","0.424","7","5","false","Oyster-Closed","0.4089","Oyster-Closed","1.0000","3","297.6","618.7","387.1","640.0"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","4","0.566","8","1","false","Oyster-Closed","0.8515","Oyster-Closed","1.0000","4","307.3","283.0","361.0","358.0"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","4","0.566","8","2","false","Oyster-Closed","0.8343","Oyster-Closed","1.0000","4","284.4","370.0","343.5","471.3"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","4","0.566","8","4","false","Oyster-Closed","0.6570","Oyster-Closed","1.0000","4","278.4","252.7","316.7","322.9"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","4","0.566","8","3","false","Oyster-Closed","0.6347","Oyster-Closed","1.0000","4","153.6","306.4","213.0","398.3"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","4","0.566","8","6","false","Oyster-Closed","0.4774","Oyster-Closed","1.0000","3","238.2","275.0","298.2","358.2"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","4","0.566","8","8","false","Oyster-Closed","0.4522","Oyster-Closed","1.0000","1","157.9","34.9","191.8","72.9"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","4","0.566","8","7","false","Oyster-Closed","0.4137","Oyster-Closed","1.0000","3","313.6","98.9","396.7","208.3"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","4","0.566","8","5","false","Oyster-Closed","0.4100","Oyster-Closed","1.0000","4","297.7","618.8","382.5","639.9"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","5","0.706","8","1","true","Oyster-Closed","0.8500","Oyster-Closed","1.0000","5","307.4","283.0","361.0","358.1"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","5","0.706","8","2","true","Oyster-Closed","0.8339","Oyster-Closed","1.0000","5","284.4","370.1","343.5","471.3"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","5","0.706","8","4","true","Oyster-Closed","0.6738","Oyster-Closed","1.0000","5","278.3","252.5","316.7","322.6"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","5","0.706","8","3","true","Oyster-Closed","0.6288","Oyster-Closed","1.0000","5","153.6","306.4","212.9","398.3"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","5","0.706","8","6","false","Oyster-Closed","0.4799","Oyster-Closed","1.0000","4","237.8","275.0","298.3","358.7"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","5","0.706","8","8","false","Oyster-Closed","0.4447","Oyster-Closed","1.0000","2","158.1","34.9","191.9","73.1"
"blob:http://localhost:8080/31f4aa1a-daf5-4c1c-9c63-c5ed0b1b71b7","5","0.706","8","7","false","Oyster-Closed","0.4138","Oyster-Closed","1.0000","4","313.2","98.8","396.9","208.4"
